Left Speed |	 Right Speed |	 Left Error |	 Right Error |	 Left Effort |	 Right Effort |	
335.98 |	354.30 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
311.54 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
311.54 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
311.54 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
311.54 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
311.54 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
311.54 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	311.54 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
305.43 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
302.38 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	314.60 |	0.00 |	0.00 |	0.00 |	0.00
308.49 |	317.65 |	0.00 |	0.00 |	0.00 |	0.00
299.32 |	308.49 |	0.00 |	0.00 |	0.00 |	0.00
